Name,Address,Company,Signal Level,Frequency,Channel,Security,Cipher,BSS Type,WPS Support,Time,Longitude,Latitude,X,Y,Z
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-75,2462,11,None,None,Infrastructure,No,11/02/20 11:00:09 PM,,,5,0,0
sks,88:63:DF:BB:74:A5,"Apple, Inc.",-76,2462,11,WPA2-PSK,CCMP,Infrastructure,No,11/02/20 10:55:30 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-73,2462,11,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-73,2412,1,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,08:4F:A9:30:00:00,,-76,2437,6,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-77,2437,6,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
CRT-MIFI,8C:21:A7:E1:4E:22,,-69,2427,4,WPA-PSK,CCMP,Infrastructure,No,11/02/20 10:58:26 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-72,2437,6,None,None,Infrastructure,No,11/02/20 11:00:07 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-76,2412,1,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-84,2437,6,None,None,Infrastructure,No,11/02/20 11:00:21 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:9F:E0,"Cisco Systems, Inc",-85,2462,11,None,None,Infrastructure,No,11/02/20 11:00:09 PM,,,5,0,0
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,Hewlett Packard,-94,2437,6,WPA2-PSK,CCMP,Infrastructure,Yes,11/02/20 10:55:30 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-82,2437,6,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-76,2437,6,None,None,Infrastructure,No,11/02/20 11:00:21 PM,,,5,0,0
BPGC-NAB,08:4F:A9:10:4B:80,,-82,2462,11,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-76,2462,11,None,None,Infrastructure,No,11/02/20 10:55:33 PM,,,5,0,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-94,2462,11,None,None,Infrastructure,No,11/02/20 10:55:33 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:92:40,"Cisco Systems, Inc",-86,2412,1,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:97:80,"Cisco Systems, Inc",-92,2412,1,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:96:A0,"Cisco Systems, Inc",-96,2412,1,None,None,Infrastructure,No,11/02/20 10:58:26 PM,,,5,0,0
BPGC-WIFI,40:01:7A:01:B8:80,"Cisco Systems, Inc",-88,2412,1,None,None,Infrastructure,No,11/02/20 11:00:04 PM,,,5,0,0
BPGC-NAB,08:4F:A9:2D:8A:A0,,-46,2412,1,None,None,Infrastructure,No,11/02/2020 22:27:02,73.88244,15.392,0,0,0
BPGC-NAB,08:4F:A9:10:4B:80,,-55,2462,11,None,None,Infrastructure,No,11/02/2020 22:27:02,73.88244,15.392,0,0,0
BPGC-NAB,08:4F:A9:2D:8A:40,,-54,2462,11,None,None,Infrastructure,No,11/02/2020 22:31:01,73.88231999999998,15.39204,0,0,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-52,2462,11,None,None,Infrastructure,No,11/02/2020 22:31:01,73.88231999999998,15.39204,0,0,0
BPGC-NAB,08:4F:A9:39:68:20,,-56,2437,6,None,None,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-66,2412,1,None,None,Infrastructure,No,11/02/2020 22:27:02,73.88244,15.392,0,0,0
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-67,2437,6,None,None,Infrastructure,No,11/02/2020 22:27:02,73.88244,15.392,0,0,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-55,2437,6,None,None,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
CRT-MIFI,8C:21:A7:E1:4E:22,,-69,2427,4,WPA-PSK,CCMP,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-NAB,00:A3:8E:4E:29:A0,"Cisco Systems, Inc",-72,2412,1,None,None,Infrastructure,No,11/02/2020 22:31:03,73.88231999999998,15.39204,0,0,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-78,2462,11,None,None,Infrastructure,No,11/02/2020 22:31:03,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:9F:20,"Cisco Systems, Inc",-67,2462,11,None,None,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-82,2437,6,None,None,Infrastructure,No,11/02/2020 22:29:03,73.88231999999998,15.39204,0,0,0
BPGC-NAB,08:4F:A9:30:00:00,,-78,2437,6,None,None,Infrastructure,No,11/02/2020 22:32:16,73.88231999999998,15.39204,0,0,0
BPGC-WIFI,40:01:7A:AF:D3:60,"Cisco Systems, Inc",-68,2437,6,None,None,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-WIFI,40:01:7A:01:B8:8F,"Cisco Systems, Inc",-69,5280,56,None,None,Infrastructure,No,11/02/2020 22:31:01,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-63,2437,6,None,None,Infrastructure,No,11/02/2020 22:32:16,73.88231999999998,15.39204,0,0,0
BPGC-WIFI,40:01:7A:C6:A5:60,"Cisco Systems, Inc",-84,2462,11,None,None,Infrastructure,No,11/02/2020 22:27:03,73.88244,15.392,0,0,0
sks,88:63:DF:BB:74:A5,"Apple, Inc.",-85,2462,11,WPA2-PSK,CCMP,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-81,2437,6,None,None,Infrastructure,No,11/02/2020 22:29:03,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:92:40,"Cisco Systems, Inc",-82,2412,1,None,None,Infrastructure,No,11/02/2020 22:31:01,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-74,2412,1,None,None,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-NAB,08:4F:A9:39:68:40,,-75,2462,11,None,None,Infrastructure,No,11/02/2020 22:32:16,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-78,2462,11,None,None,Infrastructure,No,11/02/2020 22:31:01,73.88231999999998,15.39204,0,0,0
BPGC-WIFI,40:01:7A:01:B8:80,"Cisco Systems, Inc",-81,2412,1,None,None,Infrastructure,No,11/02/2020 22:29:03,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-87,2462,11,None,None,Infrastructure,No,11/02/2020 22:31:01,73.88231999999998,15.39204,0,0,0
BPGC-NAB,70:EA:1A:22:97:80,"Cisco Systems, Inc",-79,2412,1,None,None,Infrastructure,No,11/02/2020 22:31:02,73.88231999999998,15.39204,0,0,0
BPGC-WIFI,40:01:7A:CC:88:20,"Cisco Systems, Inc",-85,2437,6,None,None,Infrastructure,No,11/02/2020 22:31:03,73.88231999999998,15.39204,0,0,0
BPGC-NAB,08:4F:A9:39:68:20,,-53,2437,6,None,None,Infrastructure,No,11/02/20 11:18:39 PM,,,9,0,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-53,2412,1,None,None,Infrastructure,No,11/02/20 11:18:41 PM,,,9,0,0
