Name,Address,Signal Level,Frequency,Channel,Time,X,Y,Z,MAC,Final
BPGC-NAB,70:EA:1A:22:A0:20,-84,2437,6,11/02/20 11:00:21 PM,5,0,0,124150763135008,124150763135008500
BPGC-NAB,70:EA:1A:22:9F:E0,-85,2462,11,11/02/20 11:00:09 PM,5,0,0,124150763134944,124150763134944500
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,-94,2437,6,11/02/20 10:55:30 PM,5,0,0,190090214554142,190090214554142500
BPGC-NAB,70:EA:1A:22:8F:E0,-82,2437,6,11/02/20 10:55:31 PM,5,0,0,124150763130848,124150763130848500
BPGC-NAB,70:EA:1A:22:AC:00,-76,2437,6,11/02/20 11:00:21 PM,5,0,0,124150763138048,124150763138048500
BPGC-NAB,08:4F:A9:10:4B:80,-82,2462,11,11/02/20 11:00:05 PM,5,0,0,9138231856000,9138231856000500
BPGC-NAB,70:EA:1A:22:A9:40,-76,2462,11,11/02/20 10:55:33 PM,5,0,0,124150763137344,124150763137344500
BPGC-NAB,00:A3:8E:60:F2:A0,-94,2462,11,11/02/20 10:55:33 PM,5,0,0,702468387488,702468387488500
BPGC-NAB,70:EA:1A:22:92:40,-86,2412,1,11/02/20 11:00:05 PM,5,0,0,124150763131456,124150763131456500
BPGC-NAB,70:EA:1A:22:97:80,-92,2412,1,11/02/20 11:00:05 PM,5,0,0,124150763132800,124150763132800500
BPGC-NAB,70:EA:1A:22:96:A0,-96,2412,1,11/02/20 10:58:26 PM,5,0,0,124150763132576,124150763132576500
BPGC-WIFI,40:01:7A:01:B8:80,-88,2412,1,11/02/20 11:00:04 PM,5,0,0,70375086078080,70375086078080500
BPGC-NAB,08:4F:A9:2D:8A:A0,-46,2412,1,11/02/2020 22:27:02,0,0,0,9138233772704,9138233772704000
BPGC-NAB,08:4F:A9:10:4B:80,-55,2462,11,11/02/2020 22:27:02,0,0,0,9138231856000,9138231856000000
BPGC-NAB,08:4F:A9:2D:8A:40,-54,2462,11,11/02/2020 22:31:01,0,0,0,9138233772608,9138233772608000
BPGC-NAB,00:A3:8E:60:F2:A0,-52,2462,11,11/02/2020 22:31:01,0,0,0,702468387488,702468387488000
BPGC-NAB,08:4F:A9:39:68:20,-56,2437,6,11/02/2020 22:31:02,0,0,0,9138234550304,9138234550304000
BPGC-NAB,70:EA:1A:22:96:00,-66,2412,1,11/02/2020 22:27:02,0,0,0,124150763132416,124150763132416000
BPGC-NAB,70:EA:1A:22:AC:00,-67,2437,6,11/02/2020 22:27:02,0,0,0,124150763138048,124150763138048000
BPGC-NAB,70:EA:1A:22:A9:A0,-55,2437,6,11/02/2020 22:31:02,0,0,0,124150763137440,124150763137440000
CRT-MIFI,8C:21:A7:E1:4E:22,-69,2427,4,11/02/2020 22:31:02,0,0,0,154076178370082,154076178370082000
BPGC-NAB,00:A3:8E:4E:29:A0,-72,2412,1,11/02/2020 22:31:03,0,0,0,702467156384,702467156384000
BPGC-NAB,A8:B4:56:CC:DE:00,-78,2462,11,11/02/2020 22:31:03,0,0,0,185492503846400,185492503846400000
BPGC-NAB,70:EA:1A:22:9F:20,-67,2462,11,11/02/2020 22:31:02,0,0,0,124150763134752,124150763134752000
BPGC-NAB,70:EA:1A:22:98:20,-82,2437,6,11/02/2020 22:29:03,0,0,0,124150763132960,124150763132960000
BPGC-NAB,08:4F:A9:30:00:00,-78,2437,6,11/02/2020 22:32:16,0,0,0,9138233933824,9138233933824000
BPGC-WIFI,40:01:7A:AF:D3:60,-68,2437,6,11/02/2020 22:31:02,0,0,0,70375097488224,70375097488224000
BPGC-WIFI,40:01:7A:01:B8:8F,-69,5280,56,11/02/2020 22:31:01,0,0,0,70375086078095,70375086078095000
BPGC-NAB,70:EA:1A:22:8F:E0,-63,2437,6,11/02/2020 22:32:16,0,0,0,124150763130848,124150763130848000
BPGC-WIFI,40:01:7A:C6:A5:60,-84,2462,11,11/02/2020 22:27:03,0,0,0,70375098983776,70375098983776000
sks,88:63:DF:BB:74:A5,-85,2462,11,11/02/2020 22:31:02,0,0,0,149962536744101,149962536744101000
BPGC-NAB,70:EA:1A:22:A0:20,-81,2437,6,11/02/2020 22:29:03,0,0,0,124150763135008,124150763135008000
BPGC-NAB,70:EA:1A:22:92:40,-82,2412,1,11/02/2020 22:31:01,0,0,0,124150763131456,124150763131456000
BPGC-NAB,70:EA:1A:22:87:60,-74,2412,1,11/02/2020 22:31:02,0,0,0,124150763128672,124150763128672000
BPGC-NAB,08:4F:A9:39:68:40,-75,2462,11,11/02/2020 22:32:16,0,0,0,9138234550336,9138234550336000
BPGC-NAB,70:EA:1A:22:A9:40,-78,2462,11,11/02/2020 22:31:01,0,0,0,124150763137344,124150763137344000
BPGC-WIFI,40:01:7A:01:B8:80,-81,2412,1,11/02/2020 22:29:03,0,0,0,70375086078080,70375086078080000
BPGC-NAB,70:EA:1A:22:A5:A0,-87,2462,11,11/02/2020 22:31:01,0,0,0,124150763136416,124150763136416000
BPGC-NAB,70:EA:1A:22:97:80,-79,2412,1,11/02/2020 22:31:02,0,0,0,124150763132800,124150763132800000
BPGC-WIFI,40:01:7A:CC:88:20,-85,2437,6,11/02/2020 22:31:03,0,0,0,70375099369504,70375099369504000
